Book,Author,Original Language,First Published,Approximate Sales,Genre
Catch-22,Joseph Heller,English,1961,10 million[165],
The Stranger (L'Étranger),Albert Camus,French,1942,10 million[166],
Eye of the Needle,Ken Follett,English,1978,10 million[167],
The Lovely Bones,Alice Sebold,English,2002,10 million[168],
Wild Swans,Jung Chang,English,1992,10 million[169],
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million[170],
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 million[171],
Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10 million[172],
The Total Woman,Marabel Morgan,English,1974,10 million[173],
Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10 million[174],
Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10 million[175],
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million[176],
The Dukan Diet,Pierre Dukan,French,2000,10 million[177],
The Joy of Sex,Alex Comfort,English,1972,10 million[178],
The Gospel According to Peanuts,Robert L. Short,English,1965,10 million[179],
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10 million[180],
Life of Pi,Yann Martel,English,2001,10 million[181],
The Front Runner,Patricia Nell Warren,English,1974,10 million[182],
The Goal,Eliyahu M. Goldratt,English,1984,10 million[183],
Fahrenheit 451,Ray Bradbury,English,1953,10 million[184],
Angela's Ashes,Frank McCourt,English,1996,10 million[185],
The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1925–1929,10 million[186],
Bridget Jones's Diary,Helen Fielding,English,1996,10 million (as of 2005)[187],
Harry Potter,J. K. Rowling,English,7 + 3 companion books + 4 scripts,1997–2007,600 million[13]
Goosebumps,R. L. Stine,English,62 + spin-off series,1992–present,400 million[188]
Perry Mason,Erle Stanley Gardner,English,82 + 4 short stories,1933–1973,300 million[189]
Diary of a Wimpy Kid,Jeff Kinney,English,18 + 5 spin-offs,2007–present,275 million[190]
Berenstain Bears,Stan and Jan Berenstain,English,428,1962–present,260 million[191]
Choose Your Own Adventure,Various authors,English,185+,1979–present,250 million[192]
Sweet Valley High,Francine Pascal and ghostwriters,English,400,1983–2003,250 million[193]
The Railway Series,"Rev. W. Awdry, Christopher Awdry",English,42,1945–2011,201 million[194]
Noddy,Enid Blyton,English,24,1949–present,200 million[195]
Nancy Drew,Various authors as Carolyn Keene,English,175,1930–present,200 million[196]
San-Antonio,Frédéric Dard,French,173,1949–2001,200 million[197]
Robert Langdon,Dan Brown,English,5,2000–present,200 million[198]
Geronimo Stilton,Elisabetta Dami,Italian,200+,1997–present,180 million[199]
Percy Jackson & the Olympians,Rick Riordan,English,6 + 4 companion books,2005–present,180 million[200]
The Baby-sitters Club,Ann Martin,English,335,1986–present,172 million[201]
Twilight,Stephenie Meyer,English,4 + 2 companion books + 1 novella,2005–2020,160 million[202]
Star Wars,Various authors,English,over 300,1977–present,160 million[203]
Little Critter,Mercer Mayer,English,over 200,1975–present,150 million[204]
Peter Rabbit,Beatrix Potter,English,6,1902–1930,150 million[205]
Fifty Shades,E. L. James,English,3,2011–2015,150 million[206]
American Girl,Various authors,English,141 + spin-off series,1986–present,160 million[207]
Chicken Soup for the Soul,"Jack Canfield, Mark Victor Hansen",English,105,1997–present,130 million[208]
Clifford the Big Red Dog,Norman Bridwell,English,over 80[209],1963–2014,129 million[210]
Frank Merriwell,Gilbert Patten,English,209,1896–1936,125 million[211]
Dirk Pitt,Clive Cussler,English,24,1973–present,120 million[212]
宮本武蔵 (Musashi),Eiji Yoshikawa,Japanese,7,1935–1939,120 million[213]
The Chronicles of Narnia,C. S. Lewis,English,7,1950–1956,120 million[214]
Mr. Men,"Roger Hargreaves, Adam Hargreaves",English,43,1971–present,120 million[215]
SAS,Gérard de Villiers,French,200,1965–2013,120 million[216][217]
The Hunger Games,Suzanne Collins,English,4,2008–2020,100 million[218]
James Bond,Ian Fleming,English,14,1953–1966,100 million[219]
Martine,"Gilbert Delahaye, Marcel Marlier",French,60,1954–2014,100 million[220]
Millennium,"Stieg Larsson, David Lagercrantz",Swedish,6,2005–present,100 million[221]
A Song of Ice and Fire,George R. R. Martin,English,5 + 3 novellas + 1 guide,1996–present,90 million[222]
The Wheel of Time,"Robert Jordan, Brandon Sanderson",English,15,1990–2013,100 million[223]
Discworld,Terry Pratchett,English,42,1983–2015,90 million[224]
Nijntje (Miffy),Dick Bruna,Dutch,119,1955–present,85 million[225]
Alex Cross,James Patterson,English,21,1993–present,81 million[226]
Anpanman (アンパンマン),Takashi Yanase,Japanese,150 picture books,1973–2013,80 million[227]
Captain Underpants,Dav Pilkey,English,12 plus spinoffs,1997–2015,80 million[228]
Fear Street,R. L. Stine,English,114,1989–present,80 million[229]
Pippi Långstrump (Pippi Longstocking),Astrid Lindgren,Swedish,3 + 3 picture books,1945–2001,80 million[230]
The Vampire Chronicles,Anne Rice,English,13,1976–2021,80 million[231]
OSS 117,Jean Bruce,French,265,1949–1992,75 million[232]
Winnie-the-Pooh,A. A. Milne; illustrated by E. H. Shepard,English,2,1926–1928,70 million[233]
Magic Tree House series,Mary Pope Osborne,English,56[234],1992–present,70 million[235]
Left Behind,"Tim LaHaye, Jerry B. Jenkins",English,16,1996–2007,65 million[236]
A Series of Unfortunate Events,Lemony Snicket aka Daniel Handler,English,13,1999–2006,65 million[237]
Little House on the Prairie,Laura Ingalls Wilder,English,12,1932–2006,60 million[238]
All Creatures Great and Small,"Alf Wight, as James Herriot",English,8,1970–1992,60 million[239]
